id,sentence
1,"In terms of email, the recipient list always comes first"
2,"Don't get me wrong, I haven't said anything doesn't mean I know nothing"
3,"The quick brown fox jumps over the lazy dog"
4,"She sells seashells by the seashore"
5,"How much wood would a woodchuck chuck if a woodchuck could chuck wood"
6,"Peter Piper picked a peck of pickled peppers"
7,"The rain in Spain falls mainly on the plain"
8,"To be or not to be, that is the question"
9,"A journey of a thousand miles begins with a single step"
10,"Practice makes perfect"
